Entity,Code,Year,Discontinued breastfeeding (deaths),Non-exclusive breastfeeding (deaths),Child stunting (deaths),Low birth weight (deaths),Drug use (deaths),No access to handwashing facility (deaths),Secondhand smoke (deaths),Poor sanitation (deaths),Unsafe water source (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),High body-mass index (obesity) (deaths),High blood pressure (deaths),High blood sugar (deaths),Child wasting (deaths),Iron deficiency (deaths)
Fiji,FJI,2005,0.480573292981,8.68119686707,5.43276463766,89.81106077,0.00210348550014,3.29951019692,7.76312202528,4.5578637488,9.75231887871,14.0214122276,5.48419750027,0.260401203692,0.0359184235861,1.25971336686,65.2394859273,0.00686035866305
Fiji,FJI,2006,0.515078558875,8.84972574232,5.33812320412,90.3550228859,0.00216915695142,3.36477101835,7.72941946266,4.81447702427,10.3590107623,13.3321394009,5.04981674507,0.243277335892,0.0370187542346,1.25713549186,65.1458276926,0.00675578247604
Fiji,FJI,2010,0.614747275139,9.12803100581,4.31945854192,88.7774818735,0.00235773153884,3.48507272241,7.68131672438,5.44738250797,11.8628213143,11.0633289543,3.67525159528,0.245848612067,0.0417868619617,1.36221701213,62.87712441,0.00675889555894
Fiji,FJI,2016,0.411703162235,7.28080363935,3.46856389962,74.9736745064,0.00244673808279,2.45955037399,5.67608828748,3.52509276116,7.51771537792,7.21735834601,3.67558992708,0.224222710937,0.0401268770169,1.28885704529,52.1260284082,0.00641200537183
Finland,FIN,1990,0.0982490984673,1.54391913901,0.217639225108,86.3405271381,0.00784005310039,0.154531358291,1.52041461778,0.134195989322,0.151429932966,0.122427104193,0.829547733088,0.0340214408891,0.0325746039518,0.471957660683,4.00336225212,0.0290468639722
Finland,FIN,1995,0.0603273283946,0.935801744058,0.117604999874,60.1148592695,0.00736810796541,0.0991250983661,0.876232722038,0.06763162363,0.0822402708337,0.0556153880048,0.500735349566,0.0268130016527,0.0307678676265,0.306640652139,2.59519611694,0.0217499122836
Finland,FIN,2000,0.0417784518702,0.706061270352,0.07996761607,42.3977627152,0.00759607617163,0.0685634033835,0.594819478052,0.0334372609048,0.0460059767349,0.0320585385465,0.352921526366,0.0200826556162,0.0243168004777,0.216379225515,1.82472692911,0.0200783668425
Finland,FIN,2005,0.0547318306985,0.563884181087,0.0490344959561,42.9349932836,0.0092650844639,0.0555420601604,0.360164441802,0.0330740656025,0.0534901769308,0.0157427380224,0.200869588016,0.0160419675758,0.0226796401173,0.195188112296,1.15125142847,0.0183812948165
Finland,FIN,2006,0.0527423898041,0.489384008675,0.0398780790029,38.4193926819,0.00924424172963,0.0488157238265,0.291230786071,0.0306394804455,0.0513355071725,0.0119105592955,0.160278653302,0.0136361424393,0.0214271206816,0.171061229139,0.95811355662,0.017875249767
Finland,FIN,2010,0.0504841298068,0.406465870257,0.0290715170623,32.2972147346,0.0104199604161,0.0403800990429,0.223828317396,0.0253857116606,0.0482376980878,0.00699628647595,0.116807509585,0.0110565762274,0.0205014008557,0.145802298095,0.734572480991,0.0184648124458
Finland,FIN,2016,0.0301056211667,0.255507470077,0.017459345062,19.7264359531,0.00971991657737,0.0238656204125,0.146105353969,0.0126760137489,0.0279599531105,0.00349729561498,0.0591742089351,0.00671095066767,0.0157386296481,0.0954873140424,0.449820401332,0.0160329633691
France,FRA,1990,7.96069663246,54.7111580102,4.52466738043,978.866929919,0.107345602751,4.21551125987,32.9942026514,8.73825527048,7.97331996264,2.40400586862,20.0841844115,0.379633587404,0.435671758783,5.15388595764,85.4387654768,0.34373639068
France,FRA,1995,6.27812128631,38.7126564517,2.20179419142,632.520275963,0.105088399267,2.9987716943,18.7570350583,4.96949261828,5.1816910437,0.778490123012,11.3614498588,0.220828136047,0.376682123008,3.11775435694,55.0223242077,0.318131758786
France,FRA,2000,6.8414974792,38.6802429067,1.81646272143,557.255509646,0.126576852879,2.94686219077,14.7805433113,4.1224636329,4.9396564126,0.431675852285,8.76411576233,0.192647899826,0.400617561145,3.22338964473,47.852340521,0.326668145535
France,FRA,2005,5.31092073445,29.0937438761,1.37739097371,426.315109717,0.14005032144,2.26485320966,10.6365357827,2.61155437544,3.6455347508,0.253907717844,6.55634927423,0.111858507355,0.412561441908,2.55841341847,34.3491026579,0.333537925563
France,FRA,2006,5.3034367814,29.1425659955,1.37104351802,432.478778868,0.147796281028,2.26582640766,10.4256090182,2.54738446492,3.66028736557,0.241583920039,6.59361263877,0.109894889188,0.422969823291,2.59939964004,34.4355266406,0.338414962253
France,FRA,2010,4.52941445435,25.1921912841,1.24425309366,425.380744807,0.169722537543,2.01014748709,9.14131787709,2.04981438875,3.27670204952,0.185714646474,6.24837671721,0.094344583557,0.428816705678,2.40282186177,31.4202476931,0.343536555212
France,FRA,2016,3.76357820693,21.0666150689,1.00741012452,397.707678792,0.168563308695,1.67055563638,7.33828360886,1.53858793656,2.73632065986,0.120907250695,5.05811341827,0.0758397915188,0.399521843171,2.0046264485,25.9173005195,0.327451301588
Gabon,GAB,1990,3.21616816505,66.5871297217,71.4154905588,363.30732857,0.00423323788984,85.2576744039,30.9282750946,57.5233426075,69.4588777609,135.842977545,92.0488037497,0.23399914349,0.0472036269048,0.18019199805,423.583191584,0.0291747572405
Gabon,GAB,1995,2.47366682444,57.4478025738,68.9149039518,377.33776666,0.00486567761216,69.8979219133,25.5368761002,45.1930785867,54.736651716,101.82649099,81.6061488829,0.196238447086,0.0395255380573,0.160493510556,372.610163519,0.0275759951846
Gabon,GAB,2000,2.85176407207,59.3818204215,74.8970209044,419.9067094,0.00644107542012,69.7283010772,24.9651686161,49.953684782,58.8770956854,71.6970008216,79.1769376624,0.172009091379,0.0350051135594,0.151449534975,361.460181728,0.02256659241
Gabon,GAB,2005,5.72954463544,83.3462202104,56.635828851,457.318027802,0.00909846365133,98.5219940552,28.7355772345,80.8599969821,94.3632528506,67.0524823866,91.5987023284,0.299809792549,0.0546233275841,0.225005725437,436.614151481,0.0364059970207
Gabon,GAB,2006,6.14594551913,85.808237483,54.3408391902,458.808958949,0.00967819429335,100.789505352,28.2161215313,84.064621336,97.8774615703,64.7002582293,93.2729215393,0.316017828032,0.0572488294247,0.237784705846,444.666338992,0.0392559529648
Gabon,GAB,2010,6.24378413961,78.9427378826,47.2523743758,441.028576662,0.0112831547611,87.0357238725,20.6924591387,77.9791790102,89.8115248539,42.2548386675,78.2753024756,0.253484203604,0.0503096773589,0.227027369354,390.466238212,0.0427335056719
Gabon,GAB,2016,5.34248359758,62.4725030247,27.7290856202,397.127313471,0.0121607235589,65.3138908386,14.4585542806,59.8103389831,72.5699813964,21.6769403533,66.5414834732,0.192181185202,0.0374613152497,0.183035481861,281.936996548,0.0450553874533
Gambia,GMB,1990,5.33012450421,121.52322742,239.908727085,634.449452497,0.00483963482789,312.129993307,109.516421855,285.260191589,319.167455348,434.189624496,265.471461085,0.188516925369,0.112266943648,0.823478289944,1276.01934709,0.0416018363363
Gambia,GMB,1995,5.84570476031,121.882454243,257.635494162,703.1008952,0.00548114114035,322.38774848,89.3489495703,325.597922174,366.187168048,370.621295892,225.861725396,0.245636441033,0.103577917119,0.744159301953,1247.4884562,0.0449981223881
Gambia,GMB,2000,6.34646191731,119.286462144,175.75881054,738.090549994,0.00638975078074,329.647729659,79.1468300899,352.936726782,401.475741234,318.721047732,196.976737253,0.27527968421,0.110399332447,0.788410199857,1133.33309902,0.0505567826706
Gambia,GMB,2005,8.02019126518,128.505927276,160.698696357,731.749031097,0.00738030800426,386.201579965,85.0019432154,410.779425006,478.025312577,347.817549534,188.330444339,0.236401930785,0.146273326476,1.09956571105,1196.39175087,0.0870307915911
Gambia,GMB,2006,8.05231579712,124.867079279,156.469304145,727.020836154,0.00747385721374,379.219490999,82.2576677225,400.037404168,468.015467287,342.466811408,188.859459647,0.233307344737,0.145278944983,1.10801142682,1184.10530792,0.0893654437248
Gambia,GMB,2010,7.56557273422,108.977721067,141.891905858,710.203878186,0.00790295845492,329.421898521,65.0446196051,341.567159852,406.097571137,291.574554271,173.877028527,0.1952126756,0.12634406285,1.02977707539,1072.54872841,0.0903365332368
Gambia,GMB,2016,6.05489271615,83.1440565703,103.358616879,681.710584189,0.00885096053683,253.268825473,51.2206432476,250.005967547,298.013569276,246.35862218,182.349073385,0.177718722988,0.112864024836,0.965970582556,861.24269752,0.100199352969
Georgia,GEO,1990,11.9346920295,240.155908835,104.261447894,777.627922123,0.0097447374277,66.7305168317,234.992158161,68.3301036651,84.8860655849,367.045761403,223.239204827,0.476282740628,0.0591685732716,1.71483396265,747.738947284,0.21917679682
Georgia,GEO,1995,8.15068850023,140.409485331,67.6066901726,513.83428412,0.00700996832186,43.5543376278,138.550552297,54.0231762859,66.6404333495,205.559892419,109.00436522,0.754292063699,0.0683634646295,1.44733159834,478.299022508,0.13984061969
Georgia,GEO,2000,3.64989366708,86.5790768385,44.1110704626,403.764293163,0.00663529446962,25.4703303726,95.459957986,28.6515364016,34.7288998848,144.815048027,76.7860290633,0.651141000568,0.0403450244005,1.0841177383,306.857917134,0.0919465324191
Georgia,GEO,2005,1.82031516465,34.0606309323,18.6784263916,368.781804419,0.00837865144922,8.68330236477,40.3332880334,13.1640117722,15.825222715,60.5590529259,31.9617593349,0.638012848681,0.0477184138869,0.943561334689,119.773119211,0.0424286242426
Georgia,GEO,2006,1.20449229814,30.0989277875,16.8177758894,360.725559595,0.00891406743033,7.12325606554,39.4439238057,8.71184410149,10.3501058864,57.6816034059,31.5877395624,0.582724151544,0.0455011197964,0.843353548416,108.697497389,0.0364556396849
Georgia,GEO,2010,0.932240224913,18.9704892355,9.32744115299,362.820983478,0.0112542973612,4.21333711261,24.7089682168,6.86634924853,7.60135334681,33.4637133475,22.2856913955,0.487462605414,0.0412691817251,0.76125994075,63.8396466541,0.0634753348581
Georgia,GEO,2016,0.693307950955,10.0912000423,4.92808291467,227.688199222,0.0113061209439,2.28393867417,11.624149353,5.05428934698,5.36341260685,15.2397756501,12.0414763716,0.376998431168,0.0381741700176,0.570721577027,34.1414318772,0.0806008069954
Germany,DEU,1990,1.94473114336,25.8693963542,2.49397438364,1829.67030882,0.117497979419,1.90314299767,42.5944753436,1.86879379767,2.24580202149,3.10317266313,28.6713292038,0.696164577364,0.7108679731,5.69554432029,51.6108939053,0.3696451422
Germany,DEU,1995,1.08987335006,12.0988831922,1.15409217106,1211.56361984,0.0986424945578,0.957122138763,17.6872605068,0.830139977235,1.10512506576,1.03335205365,12.1430148828,0.442011420791,0.469172743779,3.75951750139,25.0086267126,0.227219356043
Germany,DEU,2000,1.10806086924,10.4426460315,0.955551500071,1008.29327032,0.101876346395,0.871401069488,13.3620084214,0.672025749417,1.03925413986,0.717267474663,9.49400142019,0.301041776235,0.456800875645,2.88566037141,21.8317121113,0.198288877536
Germany,DEU,2005,1.31455384736,10.8011775805,0.878905814165,831.720393882,0.106139873662,0.934482797834,11.1817036957,0.730826975823,1.22663029756,0.550278506804,7.96511136348,0.148552713628,0.409223017723,2.18195786515,20.8591456947,0.219583552998
Germany,DEU,2006,1.36251301804,10.6598560933,0.820795041679,793.6000151,0.107367363997,0.923799574327,10.15274542,0.743806259029,1.25788945336,0.494102794574,7.35391853668,0.130345407764,0.390540638774,2.0031325225,19.7903023706,0.221596120082
Germany,DEU,2010,1.49441561987,10.9081643026,0.745782215296,676.905536806,0.117252077665,0.960008754644,9.02034091193,0.779119941859,1.35060944801,0.374133021259,6.66007247879,0.0900486791363,0.355692276914,1.70528456268,18.8550518548,0.227663090535
Germany,DEU,2016,1.38708209318,9.74555016028,0.612838365367,581.670486724,0.119533668861,0.810368625454,7.19479047884,0.59916704773,1.06554059706,0.234473352258,5.33137083873,0.0698257602438,0.316106056474,1.42363788818,15.793915245,0.225783079445
Ghana,GHA,1990,125.260743754,2420.17376573,4352.19864191,6370.41287835,0.072021565026,4485.18581312,244.486040763,5530.3546473,6316.58395706,3217.75503062,1709.58425594,1.53815258706,1.07217632066,6.61266630909,17052.9706039,9.60466586223
Ghana,GHA,1995,93.5693082146,1920.17690362,3289.14043764,6667.84009049,0.0716145392095,3684.28645038,202.389729856,4394.9259508,5012.1457738,2993.22322312,1603.00152871,2.02235321532,1.06205617242,6.75601960696,14162.0174213,9.57857780822
Ghana,GHA,2000,59.9342666594,1201.21555965,2098.9311142,7080.12574424,0.0751599769075,2751.8672898,188.241503385,3038.21917485,3485.30327045,2596.1905593,1416.77916315,1.97069927345,1.0525795856,6.39646324387,10954.0094602,14.2007901049
Ghana,GHA,2005,49.9554246967,936.633088264,1054.27675952,7322.08086802,0.0914618459943,2584.94529325,183.105266922,2591.46950668,3066.0067641,2561.01504691,1176.54742373,2.12694343802,1.29493002509,9.77642399891,9428.40746351,22.1030455625
Ghana,GHA,2006,48.7736613733,920.337828861,1090.32722352,7328.1831393,0.0958409935393,2538.33156876,173.178484306,2511.13529946,2986.65991431,2525.42731077,1168.4803237,2.15569310857,1.34929051928,10.6951465079,9462.23249403,24.0865639593
Ghana,GHA,2010,36.8934805597,757.51049309,1154.69558883,7556.84340187,0.112247326561,2048.21051016,139.246644949,1879.42581605,2270.00690557,2186.42395819,1055.97963124,1.65692939363,1.19154991537,10.9662160569,8137.86353857,29.521209335
